FileNo,BirdMamm,SpNo,SglMtp,Species,Bmass,logBm,NoBroods,MeanBS,MeanSires,MP,mean.q,sd.q,q2.5,q97.5,mean.nsires,sd.nsires,nsires2.5,nsires97.5,mean.nmates,sd.nmates,nmates2.5,nmates97.5,mean.estM,sd.estM,estM2.5,estM97.5,mean.est.pmult,sd.est.pmult,est.pmult2.5,est.pmult97.5,mean.avgR,sd.avgR,avgR2.5,avgR97.5,mean.avgM,sd.avgM,avgM2.5,avgM97.5,pred_pmult,pred_pmult_lcl,pred_pmult_ucl,resid_pmult,resid_pmult_lcl,resid_pmult_ucl
25,1,23,a,"comb-crested jacana, Irediparra gallinacea",,,10,3.5,1.1,0.1,0.402119202,0.027163932,0.349613081,0.456069507,1.35,0.589491601,1,3,4.481856,2.728678479,2,12,3.37269976,1.494012691,2.211998969,7.570874182,0.73511224,0.004989576,0.731745238,0.749066667,1.687140859,0.060897831,1.572549523,1.811209713,2.74812573,0.187668957,2.411913058,3.146335359,0.736397705,0.728571531,0.747436544,0.636397705,0.628571531,0.647436544
26,1,24,a,"common crossbill, Loxia curvirostra",,,34,2.8235,1,0,0.452828443,0.015545622,0.422376287,0.482932707,1.347058824,0.630235947,1,3,4.115922647,2.437403967,2,11,2.978286539,1.398025752,2.079543581,6.783039923,0.703164313,0.003839759,0.699018823,0.713016248,1.563724243,0.025730866,1.514062675,1.614284834,2.210955073,0.076218197,2.07068187,2.367557156,0.704579119,0.696079206,0.717476735,0.704579119,0.696079206,0.717476735
27,1,25,a,"common redstart, Phoenicurus phoenicurus",,,38,6.6579,1.1053,0.105263158,0.254962986,0.00853536,0.238378119,0.272034316,1.684210526,0.879750773,1,4,7.593673684,5.461757471,2,22,6.613127414,3.463444523,3.712791362,15.73974355,0.790754489,0.001886419,0.788655082,0.795616015,1.976254003,0.041432006,1.896551913,2.059950226,4.339864866,0.145662588,4.062954903,4.63659653,0.801918775,0.79207102,0.81601078,0.696655617,0.686807862,0.710747622
28,1,26,a,"common swift, Apus apus",,,42,2.0952,1.0952,0.0952381,0.55849969,0.015686151,0.527036504,0.588686915,1.321428571,0.600807352,1,3,3.548160476,1.909293439,2,9,2.367905814,1.07909771,1.704114534,5.421711622,0.637782181,0.004386045,0.632103158,0.648815281,1.427800417,0.01671634,1.394802416,1.460474664,1.962588602,0.055322881,1.860476372,2.07810671,0.644027595,0.629650186,0.665798488,0.5487895,0.534412091,0.570560392
29,1,28,a,"Cooper's hawk, Accipiter cooperii",,,44,3.1818,1.3409,0.340909091,0.495154793,0.013113021,0.470055603,0.521300896,1.65,0.839507527,1,4,4.628537727,2.660196358,2,11,3.334632512,1.699537327,1.933473523,8.057753382,0.728545061,0.004367175,0.721427142,0.738400981,1.777705847,0.028245253,1.724274134,1.834714337,2.709963061,0.071904134,2.572236308,2.852660585,0.722494958,0.714574616,0.734696821,0.381585867,0.373665525,0.39378773
30,1,29,a,"crimsom rosella, Platycercus elegans",,,42,4.4048,1,0,0.336560931,0.011108078,0.315185098,0.358754653,1.430952381,0.708784455,1,3,5.330919048,3.559769573,2,15,4.256322932,2.114084748,2.803460495,9.229365791,0.758306809,0.001022718,0.757589534,0.761234707,1.773732466,0.032880926,1.711193062,1.840149468,2.974468605,0.098236898,2.787420292,3.172738831,0.766972103,0.759361544,0.776976714,0.766972103,0.759361544,0.776976714
31,1,30,a,"crimson-breasted shrike, Laniarius atrococcineus",,,41,1.8049,1.2683,0.268292683,0.613980189,0.01634162,0.581844225,0.64580822,1.317073171,0.533695163,1,3,3.350493659,1.631586155,2,7,2.146662441,0.872047052,1.554156376,4.805579426,0.591866878,0.005394436,0.584218149,0.604794383,1.350626266,0.013389735,1.324755814,1.377155219,2.067156425,0.055144754,1.963884392,2.179780478,0.606137959,0.584909016,0.636725965,0.337845276,0.316616334,0.368433282
32,1,31,a,"dickcissel, Spiza americana",,,92,2.3696,1.3261,0.2826087,0.542168295,0.010156468,0.522087554,0.562032583,1.404347826,0.688083868,1,3,3.806507717,2.131144985,2,9,2.591153469,1.270732435,1.785411404,5.653823123,0.663864594,0.000645443,0.6634041,0.665698804,1.524137984,0.013625748,1.497467372,1.551053179,2.446754824,0.04589695,2.359448538,2.539970444,0.672876945,0.662566105,0.689076295,0.39026825,0.379957409,0.4064676
33,1,33,a,"Eastern bluebird, Sialia sialis",,,79,3.7381,1.0952,0.0952381,0.387999679,0.00541438,0.377225239,0.398558131,1.5535,0.769504893,1,3,5.1541774,3.216810306,2,13,4.004649584,1.984629874,2.517264459,7.922014755,0.743858315,0.003803558,0.739967054,0.748999762,1.758227388,0.035332806,1.704057088,1.814590093,3.007461333,0.188882472,2.759569463,3.265825013,0.745810227,0.738112549,0.75626609,0.650572132,0.642874454,0.661027994
34,1,34,a,"Eastern imperial eagle, Aquila heliaca",,,86,1.9302,1,0,0.566395152,0.011315172,0.544248618,0.589124185,1.273255814,0.533510655,1,3,3.407192093,1.76299094,2,8,2.248897222,0.943577881,1.701926712,5.225597123,0.621799316,0.005153224,0.612966764,0.633165642,1.365478638,0.010161353,1.345818789,1.386133701,1.766257179,0.035324263,1.697434983,1.837395572,0.623494553,0.605626804,0.649823897,0.623494553,0.605626804,0.649823897
35,1,35,a,"el oro parakeet, Pyrrhura orcesi",,,28,3.7143,1.1071,0.107142857,0.424190049,0.015555548,0.393486586,0.454845836,1.507142857,0.726994221,1,3,4.729839286,2.847308192,2,12,3.557787131,1.722307916,2.214641088,7.354220502,0.744268771,0.003837073,0.739300282,0.753643155,1.808705184,0.039512707,1.731869065,1.887714171,2.613540309,0.096243305,2.434105734,2.813673698,0.744928312,0.737215478,0.755437201,0.637785455,0.630072621,0.648294343
36,1,36,a,"elegant scops-owl, Otus elegans",,,108,1.8519,1.0093,0.009259259,0.57860871,0.010131492,0.558758157,0.598233372,1.260185185,0.51629735,1,3,3.33370787,1.693071493,2,8,2.178626068,0.893536058,1.673946489,5.116337235,0.610282657,0.005004951,0.601699521,0.62110478,1.342493382,0.008393274,1.326217162,1.358919503,1.744821759,0.030590939,1.687066129,1.806254184,0.612826428,0.592934392,0.641732308,0.603567168,0.583675133,0.632473048
37,1,37,a,"Eurasian linnet, Carduelis cannabina",,,22,4.8182,1.0909,0.090909091,0.304994639,0.014191904,0.277659443,0.332952447,1.472727273,0.716165341,1,3,5.885035455,4.024092169,2,16,4.83920971,2.366661144,3.027391707,10.33128628,0.767749185,0.002739805,0.765750926,0.775361011,1.7779416,0.046076216,1.690520353,1.870059677,3.584599785,0.167697835,3.276471159,3.928946473,0.776929666,0.768887557,0.787681406,0.686020575,0.677978466,0.696772315
38,1,38,a,"Eurasian reed-warbler, Acrocephalus scirpaceus",,,52,3.5769,1.1538,0.153846154,0.41251097,0.011082417,0.391108033,0.434290864,1.528846154,0.77653987,1,4,4.874231154,3.022624069,2,13,3.708873702,1.887152245,2.316379027,9.347401035,0.735410583,0.001056727,0.734542241,0.738346127,1.734436586,0.026079861,1.684599914,1.786223826,2.799149964,0.075304849,2.656851084,2.950198045,0.739537133,0.73173543,0.750368058,0.585690979,0.577889276,0.596521905
39,1,39,a,"Eurasian three-toed woodpecker, Picoides tridactylus",,,26,3.0769,1.0769,0.076923077,0.48891132,0.009582393,0.470472549,0.507965839,1.368367347,0.635689749,1,3,3.967143571,2.260740455,2,10,2.799880723,1.302123564,1.975360833,6.198073171,0.69637017,0.022528414,0.661880417,0.722271487,1.538446448,0.185059764,1.339146337,1.755310716,2.21380786,0.044622346,2.128965699,2.302294416,0.717199979,0.70909955,0.729809077,0.640276902,0.632176473,0.652886
40,1,40,b,"European nuthatch, Sitta europaea",,,32,5.875,1.375,0.375,0.327066418,0.011159524,0.305281227,0.34888117,1.803125,0.919573542,1,4,6.624296875,4.322824005,2,18,5.51945145,2.822809097,2.898188058,12.41517448,0.79970962,0.005973061,0.789086218,0.812208861,2.129656037,0.050238537,2.032693507,2.228877804,4.208940447,0.143830454,3.941169997,4.504043735,0.793162055,0.783830959,0.806285194,0.418162055,0.408830959,0.431285194
41,1,40,b,"field sparrow, Spizella pusilla",,,80,3.85,1.5,0.8,0.431158991,0.008770056,0.41358447,0.448207876,1.68875,0.836285552,1,4,5.155008875,3.052527606,2,13,3.918391814,1.942470192,2.244246132,9.145439146,0.753520512,0.003096202,0.747957811,0.760079106,1.873573466,0.023803312,1.826267672,1.920219952,3.480436845,0.070918179,3.346661407,3.626828639,0.749780057,0.74214905,0.760005899,-0.050219943,-0.05785095,-0.039994101
