"species","nbrood","avgbrood","minbrood","maxbrood","pmult","avgsire","minsire","maxsire","species_ID","StudyID","PopulationID","Reference"
"Arabian babbler, Turdoides squamiceps",44,4.22727272727273,NA,NA,0.0909090909090909,1.09090909090909,1,2,326,"328",478,"Lundy et al. (1998)"
"Northern wheatear, Oenanthe oenanthe",10,6.2,NA,NA,0.1,1.1,1,2,205,"578",280,"Currie et al. (1999)"
"Brown thornbill, Acanthiza pusilla",67,2.65671641791045,2,4,0.104477611940299,1.1044776119403,1,2,1,"184",1,"Green et al. 2002"
"Adlie penguin, Pygoscelis adeliae",18,1.22222222222222,NA,NA,0.111111111111111,1.11111111111111,1,2,267,"404",391,"Pilastro et al. (2001)"
"Tufted titmouse, Baeolophus bicolor",9,3.77777777777778,NA,NA,0.111111111111111,1.11111111111111,1,2,37,"411",47,"Pravosudova et al 2002"
"House sparrow, Passer domesticus",17,3.11764705882353,NA,NA,0.117647058823529,1.11764705882353,1,2,221,"94",330,"Cordero et al 1999"
"Stripe-backed wren, Campylorhynchus nuchalis",34,2.02941176470588,NA,NA,0.117647058823529,1.11764705882353,1,2,54,"418",67,"Rabenold et al. (1990)"
"Pied flycatcher, Ficedula hypoleuca",27,5,NA,NA,0.148148148148148,1.18518518518519,1,3,133,"312",176,"Lifjeld et al 1991"
"Bull-headed shrike, Lanius bucephalus",24,4.125,NA,NA,0.166666666666667,1.16666666666667,1,2,168,"557",230,"Yamagishi et al. (1992)"
"Red-backed shrike, Lanius collurio",6,3.16666666666667,NA,NA,0.166666666666667,1.16666666666667,1,2,169,"155",231,"Fornasari et al. (1994)"
"Southern lapwing, Vanellus chilensis",16,2.5625,NA,NA,0.1875,1.1875,1,2,338,"454",492,"Saracura et al 2008"
"Sedge warbler, Acrocephalus schoenobaenus",44,4.56818181818182,4,6,0.204545454545455,1.22727272727273,1,3,9,"292",508,"Langefors et al. 1998"
"Great tit, Parus major",55,7.41818181818182,NA,NA,0.236363636363636,1.25454545454545,1,3,217,"284",317,"Krokene et al. 1998"
"Eastern bluebird, Sialia sialis",21,3.95238095238095,NA,NA,0.238095238095238,1.23809523809524,1,2,286,"353",420,"Meek et al. (1994)"
"Great tit, Parus major",4,8.5,NA,NA,0.25,1.25,1,2,217,"549",314,"Winkel et al 2001"
"House wren, Troglodytes aedon",146,5.41095890410959,NA,NA,0.267123287671233,1.28082191780822,1,3,322,"475",470,"Soukup & Thompson (1997)"
"Common starling, Sturnus vulgaris",14,4.42857142857143,NA,NA,0.285714285714286,1.5,1,3,299,"405",437,"Pinxten et al 1993"
"Dunnock, Prunella modularis",45,2.95555555555556,1,4,0.288888888888889,1.28888888888889,1,2,263,"70",386,"Burke et al. (1989)"
"Northern wheatear, Oenanthe oenanthe",17,4.29411764705882,NA,NA,0.294117647058824,1.29411764705882,1,2,205,"102",280,"Currie et al. (1998)"
"House martin, Delichon urbicum",19,3.26315789473684,NA,NA,0.315789473684211,1.68421052631579,1,3,102,"434",123,"Riley et al. 1995"
"Common starling, Sturnus vulgaris",22,4.18181818181818,NA,NA,0.318181818181818,1.31818181818182,1,2,299,"473",438,"Smith & von Schantz (1993)"
"Barn swallow, Hirundo rustica",63,4.14285714285714,NA,NA,0.333333333333333,1.33333333333333,1,2,154,"362",211,"Mller & Tegelstrm (1997)"
"Blue tit, Parus caeruleus",47,9.91489361702128,NA,NA,0.340425531914894,1.38297872340426,1,3,215,"284",300,"Krokene et al. 1998"
"Barn swallow, Hirundo rustica",11,4.09090909090909,NA,NA,0.363636363636364,1.36363636363636,1,2,154,"474",207,"Smith et al 1991"
"Great tit, Parus major",78,8.73076923076923,NA,NA,0.397435897435897,1.3974358974359,1,2,217,"483",310,"Strohbach et al 1998"
"Alpine accentor, Prunella collaris",38,2.89473684210526,NA,NA,0.5,1.55263157894737,1,3,262,"203",384,"Hartley et al. (1995)"
"Ruff, Philomachus pugnax",34,3,2,4,0.5,1.58823529411765,1,3,239,"294",354,"Lank et al 2002"
"Red-billed buffalo weaver, Bubalornis niger",6,2.66666666666667,NA,NA,0.5,1.5,1,2,41,"550",52,"Winterbottom et al 2001"
"Alpine accentor, Prunella collaris",5,3.4,2,4,0.6,1.8,1,3,262,"211",383,"Heer 1996"
"Yellowhammer, Emberiza citrinella",32,3.84375,NA,NA,0.6875,1.75,1,3,114,"487",140,"Sundberg & Dixon (1996)"
"Smiths longspur, Calcarius pictus",31,3.67741935483871,NA,NA,0.774193548387097,1.90322580645161,1,3,47,"59",58,"Briskie et al. (1998)"
"Pukeko, Porphyrio porphyrio",12,6.16666666666667,5,11,1,2.08333333333333,2,3,258,"238",378,"Jamieson et al. (1994)"
"Saddleback, Philesturnus carunculatus",39,5.17948717948718,NA,NA,0,1,1,1,237,"496",351,"Taylor et al. (2008)"
"Imperial shag, Phalacrocorax atriceps",37,2.97297297297297,NA,NA,0,1,1,1,233,"72",347,"Calderon et al (2012)"
"Lesser kestrel, Falco naumanni",23,3.1304347826087,NA,NA,0,1,1,1,128,"9",160,"Alcaide et al 2005"
"Common crossbill, Loxia curvirostra",34,2.82352941176471,NA,NA,0,1,1,1,177,"273",239,"Kleven et al 2008"
"Black guillemot, Cepphus grylle",32,1.4375,NA,NA,0,1,1,1,66,"15",81,"Anker-Nilsson et al (2010)"
"Black-legged kittiwake, Rissa tridactyla",86,1.38372093023256,NA,NA,0,1,1,1,278,"214",404,"Helfenstein et al 2004"
"North American black tern, Chlidonias niger",11,2.54545454545455,NA,NA,0,1,1,1,81,"468",99,"Shealer et al 2014"
"Eastern imperial eagle, Aquila heliaca",86,1.93023255813953,NA,NA,0,1,1,1,32,"446",42,"Rudnick et al 2005"
"Ridgway's hawk, Buteo ridgwayi",41,1.8695652173913,1,2,0,1,1,1,43,"553",54,"Woolaver et al 2013"
"Boreal owl, Aegolius funereus",32,3.40625,NA,NA,0,1,1,1,18,"275",21,"Koopman et al 2007"
"Monk parakeet, Myiopsitta monachus",52,1.11538461538462,NA,NA,0,1,1,1,199,"178",270,"Goncalves da Silva et al 2010"
"Monk parakeet, Myiopsitta monachus",14,1.92857142857143,NA,NA,0,1,1,1,199,"178",271,"Goncalves da Silva et al 2010"
"Monk parakeet, Myiopsitta monachus",12,2.83333333333333,NA,NA,0,1,1,1,199,"178",269,"Goncalves da Silva et al 2010"
"Siberian jay, Perisoreus infaustus",23,1.73913043478261,NA,NA,0,1,1,1,227,"172",339,"Gienapp & Merila 2010"
"Apostlebird, Struthidea cinerea",15,2.73333333333333,NA,NA,0,1,1,1,296,"556",432,"Woxvold & Mulder 2008"
"Wood stork, Mycteria americana",29,3,NA,NA,0,1,1,1,198,"360",267,"Mino et al 2011"
"White-crowned penduline tit, Remiz coronatus",5,5.8,NA,NA,0,1,1,1,274,"29",398,"Ball et al. 2017"
"Kentish plover, Charadrius alexandrinus",12,1.58333333333333,NA,NA,0,1,1,1,68,"333",83,"Maher et al 2017"
