"FileNo","LineNo","species","animal","OldName","NewName","Bmass","logBm","NoLitters","MeanLS","MeanSires","MP","PMP","resPMP","MeanQ","MeanM","mev","weights","mesd","rand"
38,23,"Meles_meles","Meles_meles","Meles_meles","a",11884.03,4.075,174,2,1.4,0.396,0.623003009508356,0.227003009508356,0.611729895892136,3.58367160919541,0.005847953,171,0.076471911,0.9002425
39,26,"Procyon_lotor","Procyon_lotor","Procyon_lotor","a",6373.72,3.804,8,4,1.9,0.875,0.766708900798035,-0.108291099201965,0.417635107982185,5.38216,0.2,5,0.447213595,0.548664078
40,12,"Ursus_arctos","Ursus_arctos","Ursus_arctos","a",196287.5,5.293,69,2,1.1,0.145,0.623003009508356,0.478003009508356,0.591432731100382,3.39877971014493,0.015151515,66,0.123091491,0.816273932
41,4,"Ursus_americanus","Ursus_americanus","Ursus_americanus","a",110500,5.043,5,2.4,1.2,0.2,0.672521710638736,0.472521710638736,0.5494236204858,3.833338,0.5,2,0.707106781,0.902389595
42,22,"Canis_simensis","Canis_simensis","Canis_simensis","a",14361.86,4.157,12,4.7,1.3,0.333,0.78929093921716,0.45629093921716,0.357779035875222,5.45522333333333,0.111111111,9,0.333333333,0.389005452
43,1,"Lycaon_pictus","Lycaon_pictus","Lycaon_pictus","a",21999.9,4.342,6,4.2,1.2,0.167,0.770500282310374,0.603500282310374,0.382785104610451,5.502515,0.333333333,3,0.577350269,0.713787895
44,37,"Vulpes_vulpes","Vulpes_vulpes","Vulpes_vulpes","a",4820.36,3.683,12,3.8,1.8,0.5,0.759569011903025,0.259569011903025,0.48496215976246,5.00595333333333,0.111111111,9,0.333333333,0.198680366
45,6,"Vulpes_lagopus","Vulpes_lagopus","Alopex_lagopus","Vulpes_lagopus",3584.37,3.554,8,5.4,1.1,0.125,0.812742132895627,0.687742132895627,0.29546665874982,6.71619125,0.2,5,0.447213595,0.066274861
46,24,"Urocyon_cinereoargenteus","Urocyon_cinereoargenteus","Urocyon_cinereoargenteus","a",3833.71,3.584,7,3.3,1.1,0.143,0.740861899123906,0.597861899123906,0.467509123134098,4.80370571428571,0.25,4,0.5,0.10488768
47,18,"Felis_catus","Felis_catus","Felis_silvestris","Felis_catus",2884.8,3.46,92,3.8,1.8,0.554,0.759569011903025,0.205569011903025,0.464807608059475,5.31022326086956,0.011235955,89,0.105999788,0.359675311
48,15,"Acinonyx_jubatus","Acinonyx_jubatus","Acinonyx_jubatus","a",50577.92,4.704,23,3,1.5,0.435,0.724644714036308,0.289644714036308,0.486003643913224,4.39921391304348,0.05,20,0.223606798,0.912166156
49,45,"Crocuta_crocuta","Crocuta_crocuta","Crocuta_crocuta","a",63369.98,4.802,102,2,1.3,0.333,0.623003009508356,0.290003009508356,0.595386315240622,3.57421705882353,0.01010101,99,0.100503782,0.13902541
50,48,"Hyaena_hyaena","Hyaena_hyaena","Hyaena_hyaena","a",35070.51,4.545,4,2.5,1.5,0.5,0.683019583176387,0.183019583176387,0.634613387624965,3.6014675,1,1,1,0.886084338
51,8,"Eptesicus_fuscus","Eptesicus_fuscus","Eptesicus_fuscus","a",17.49,1.243,26,2,1.5,0.462,0.623003009508356,0.161003009508356,0.621782275786317,3.46757576923077,0.043478261,23,0.208514414,0.958097998
52,54,"Erinaceus_europaeus","Erinaceus_europaeus","Erinaceus_europaeus","a",777.95,2.891,5,5,1.4,0.4,0.800252542274204,0.400252542274204,0.311432895451174,6.574386,0.5,2,0.707106781,0.135335181
53,57,"Crocidura_russula","Crocidura_russula","Crocidura_russula","a",9.89,0.995,42,2.3,1,0,0.661218845872447,0.661218845872447,0.532981611280173,3.74119690476191,0.025641026,39,0.160128154,0.696787611
54,7,"Crocidura_shantungensis","Crocidura_shantungensis","Crocidura_selina","Crocidura_shantungensis",9.5,0.978,18,3,1.3,0.277,0.724644714036308,0.447644714036308,0.463954497114953,4.72656277777778,0.066666667,15,0.25819889,0.716169098
55,27,"Tarsipes_rostratus","Tarsipes_rostratus","Tarsipes_rostratus","a",9.66,0.985,5,2.4,2,1,0.672521710638736,-0.327478289361264,0.639963449257603,4.170272,0.5,2,0.707106781,0.886612338
56,49,"Antechinus_stuartii","Antechinus_stuartii","Antechinus_stuartii","a",29.1,1.464,39,4.4,2.8,0.923,0.777747691925451,-0.145252308074549,0.537730934686234,6.21441769230769,0.027777778,36,0.166666667,0.18563288
57,2,"Antechinus_agilis","Antechinus_agilis","Antechinus_agilis","a",22.13,1.345,47,7.7,2.8,0.978,0.843008564000456,-0.134991435999544,0.368759478023664,8.80255489361703,0.022727273,44,0.150755672,0.74664527
58,50,"Antechinus_minimus","Antechinus_minimus","Antechinus_minimus","a",52.56,1.721,10,6.1,2,0.8,0.82942223019659,0.0294222301965895,0.378165835674544,7.444734,0.142857143,7,0.377964473,0.233572765
59,46,"Dasyurus_maculatus","Dasyurus_maculatus","Dasyurus_maculatus","a",3284.15,3.516,6,5,1.8,0.667,0.800252542274204,0.133252542274204,0.398039329069951,5.86597833333333,0.333333333,3,0.577350269,0.522208056
60,53,"Didelphis_virginiana","Didelphis_virginiana","Didelphis_virginiana","a",2442.08,3.388,64,8.7,1.4,0.406,0.835662851394089,0.429662851394089,0.206766796997605,9.70282140625,0.016393443,61,0.12803688,0.783999779
61,61,"Lasiurus_borealis","Lasiurus_borealis","Lasiurus_borealis","a",10,1,31,3.1,1.9,0.71,0.731062717557787,0.0210627175577868,0.557862158322438,4.60286548387097,0.035714286,28,0.188982237,0.725919463
63,63,"Dasyurus_hallucatus","Dasyurus_hallucatus","Dasyurus_hallucatus","a",365.32,2.563,14,5.7,4.3,1,0.82068614704634,-0.17931385295366,0.626990616958634,7.99582857142857,0.090909091,11,0.301511345,0.974243048
NA,NA,"Glis_glis","Glis_glis","Glis_glis","a",NA,NA,21,4.2,1.8,0.714,0.770500282310374,0.0565002823103739,0.422761282950772,5.63185428571428,0.055555556,18,0.23570226,NA
NA,NA,"Spermophilus_fulvus","Spermophilus_fulvus","Spermophilus_fulvus","a",NA,NA,18,4.9,1.8,0.556,0.796749667543206,0.240749667543206,0.405128542395216,6.11968444444444,0.066666667,15,0.25819889,NA
