FileNo,LineNo,species,animal,OldName,NewName,Bmass,logBm,NoLitters,MeanLS,MeanSires,MP,PMP,resPMP,MeanQ,MeanM,mev,weights,mesd,rand
45,6,Vulpes_lagopus,Vulpes_lagopus,Alopex_lagopus,Vulpes_lagopus,3584.37,3.554,8,5.4,1.1,0.125,0.799743933,0.674743933,0.303297724,6.65185375,0.2,5,0.447213595,0.066274861
46,24,Urocyon_cinereoargenteus,Urocyon_cinereoargenteus,Urocyon_cinereoargenteus,a,3833.71,3.584,7,3.3,1.1,0.143,0.743707535,0.600707535,0.389878292,4.801412857,0.25,4,0.5,0.10488768
47,18,Felis_catus,Felis_catus,Felis_silvestris,Felis_catus,2884.8,3.46,92,3.8,1.8,0.554,0.765467153,0.211467153,0.471031139,5.247300761,0.011235955,89,0.105999788,0.359675311
48,15,Acinonyx_jubatus,Acinonyx_jubatus,Acinonyx_jubatus,a,50577.92,4.704,23,3,1.5,0.435,0.725459346,0.290459346,0.47166372,4.611277826,0.05,20,0.223606798,0.912166156
49,45,Crocuta_crocuta,Crocuta_crocuta,Crocuta_crocuta,a,63369.98,4.802,102,2,1.3,0.333,0.62291015,0.28991015,0.57927538,3.582649608,0.01010101,99,0.100503782,0.13902541
50,48,Hyaena_hyaena,Hyaena_hyaena,Hyaena_hyaena,a,35070.51,4.545,4,2.5,1.5,0.5,0.682402904,0.182402904,0.508748741,3.9723075,1,1,1,0.886084338
51,8,Eptesicus_fuscus,Eptesicus_fuscus,Eptesicus_fuscus,a,17.49,1.243,26,2,1.5,0.462,0.62291015,0.16091015,0.597350022,3.625483846,0.043478261,23,0.208514414,0.958097998
52,54,Erinaceus_europaeus,Erinaceus_europaeus,Erinaceus_europaeus,a,777.95,2.891,5,5,1.4,0.4,0.793941029,0.393941029,0.356616911,6.582122,0.5,2,0.707106781,0.135335181
53,57,Crocidura_russula,Crocidura_russula,Crocidura_russula,a,9.89,0.995,42,2.3,1,0,0.660578652,0.660578652,0.519119039,3.719748571,0.025641026,39,0.160128154,0.696787611
54,7,Crocidura_shantungensis,Crocidura_shantungensis,Crocidura_selina,Crocidura_shantungensis,9.5,0.978,18,3,1.3,0.277,0.725459346,0.448459346,0.470488514,4.554257778,0.066666667,15,0.25819889,0.716169098
55,27,Tarsipes_rostratus,Tarsipes_rostratus,Tarsipes_rostratus,a,9.66,0.985,5,2.4,2,1,0.671843565,-0.328156435,0.586345087,3.815784,0.5,2,0.707106781,0.886612338
56,49,Antechinus_stuartii,Antechinus_stuartii,Antechinus_stuartii,a,29.1,1.464,39,4.4,2.8,0.923,0.782982717,-0.140017283,0.528165199,6.045972308,0.027777778,36,0.166666667,0.18563288
57,2,Antechinus_agilis,Antechinus_agilis,Antechinus_agilis,a,22.13,1.345,47,7.7,2.8,0.978,0.829006381,-0.148993619,0.363809891,8.768025745,0.022727273,44,0.150755672,0.74664527
58,50,Antechinus_minimus,Antechinus_minimus,Antechinus_minimus,a,52.56,1.721,10,6.1,2,0.8,0.811602253,0.011602253,0.351737027,7.410579,0.142857143,7,0.377964473,0.233572765
59,46,Dasyurus_maculatus,Dasyurus_maculatus,Dasyurus_maculatus,a,3284.15,3.516,6,5,1.8,0.667,0.793941029,0.126941029,0.422101618,5.88137,0.333333333,3,0.577350269,0.522208056
60,53,Didelphis_virginiana,Didelphis_virginiana,Didelphis_virginiana,a,2442.08,3.388,64,8.7,1.4,0.406,0.832239136,0.426239136,0.212666253,9.599644844,0.016393443,61,0.12803688,0.783999779
61,61,Lasiurus_borealis,Lasiurus_borealis,Lasiurus_borealis,a,10,1,31,3.1,1.9,0.71,,,,,0.035714286,28,0.188982237,0.725919463
63,63,Dasyurus_hallucatus,Dasyurus_hallucatus,Dasyurus_hallucatus,a,365.32,2.563,14,5.7,4.3,1,,,,,0.090909091,11,0.301511345,0.974243048
,,Glis_glis,Glis_glis,Glis_glis,a,,,21,4.2,1.8,0.714,,,,,0.055555556,18,0.23570226,
,,Spermophilus_fulvus,Spermophilus_fulvus,Spermophilus_fulvus,a,,,18,4.9,1.8,0.556,,,,,0.066666667,15,0.25819889,
