"species","nbrood","avgbrood","minbrood","maxbrood","pmult","avgsire","minsire","maxsire","Reference"
"Northern wheatear, Oenanthe oenanthe",17,4.29411764705882,NA,NA,0.294117647058824,1.29411764705882,1,2,"Currie et al. (1998)"
"Flammulated owl, Otus flammeolus",17,2.17647058823529,NA,NA,0,1,1,1,"Arsenault et al 2002"
"Blue tit, Parus caeruleus",47,9.91489361702128,NA,NA,0.340425531914894,1.38297872340426,1,3,"Krokene et al. 1998"
"Great tit, Parus major",55,7.41818181818182,NA,NA,0.236363636363636,1.25454545454545,1,3,"Krokene et al. 1998"
"Great tit, Parus major",4,8.5,NA,NA,0.25,1.25,1,2,"Winkel et al 2001"
"Great tit, Parus major",78,8.73076923076923,NA,NA,0.397435897435897,1.3974358974359,1,2,"Strohbach et al 1998"
"Willow tit, Parus montanus",24,4.66666666666667,NA,NA,0.0416666666666667,1.04166666666667,1,2,"Orell et al. (1997)"
"House sparrow, Passer domesticus",54,3.16666666666667,NA,NA,0.037037037037037,1.03703703703704,1,2,"Veiga & Boto 2000"
"House sparrow, Passer domesticus",17,3.11764705882353,NA,NA,0.117647058823529,1.11764705882353,1,2,"Cordero et al 1999"
"New Zealand robin, Petroica australis",37,1.67567567567568,NA,NA,0,1,1,1,"Ardern et al. (1997)"
"Phainopepla, Phainopepla nitens",25,1.92,NA,NA,0,1,1,1,"Chu et al 2002"
"Red-necked phalarope, Phalaropus lobatus",63,3.58730158730159,NA,NA,0.0634920634920635,1.06349206349206,1,2,"Schamel et al 2004"
"Ruff, Philomachus pugnax",34,3,2,4,0.5,1.58823529411765,1,3,"Lank et al 2002"
"Wood warbler, Phylloscopus sibilatrix",13,4.30769230769231,NA,NA,0,1,1,1,"Gyllensten et al. (1990)"
"Willow warbler, Phylloscopus trochilus",19,6.31578947368421,NA,NA,0,1,1,1,"Gyllensten et al. (1990)"
"Red-cockaded woodpecker, Picoides borealis",44,1.81818181818182,NA,NA,0.0227272727272727,1.02272727272727,1,2,"Haig et al. (1994)"
"Eurasian three-toed woodpecker, Picoides tridactylus",23,2.08695652173913,NA,NA,0.0869565217391304,1.08695652173913,1,2,"Pechacek et al 2005"
"Takahe, Porphyrio hochstetteri",9,3,NA,NA,0,1,1,1,"Lettink et al 2002"
"Pukeko, Porphyrio porphyrio",12,6.16666666666667,5,11,1,2.08333333333333,2,3,"Jamieson et al. (1994)"
"Alpine accentor, Prunella collaris",38,2.89473684210526,NA,NA,0.5,1.55263157894737,1,3,"Hartley et al. (1995)"
"Alpine accentor, Prunella collaris",5,3.4,2,4,0.6,1.8,1,3,"Heer 1996"
"Dunnock, Prunella modularis",45,2.95555555555556,1,4,0.288888888888889,1.28888888888889,1,2,"Burke et al. (1989)"
"Bushtit, Psaltriparus minimus",10,5.9,NA,NA,0,1,1,1,"Bruce et al. (1996)"
"Adlie penguin, Pygoscelis adeliae",18,1.22222222222222,NA,NA,0.111111111111111,1.11111111111111,1,2,"Pilastro et al. (2001)"
"Chinstrap penguin, Pygoscelis antarcticus",38,2,NA,NA,0,1,1,1,"Moreno et al. (2000)"
"Canary, Serinus canaria",15,3,NA,NA,0,1,1,1,"Voigt et al 2003"
"Serin, Serinus serinus",21,2.9047619047619,NA,NA,0,1,1,1,"Mota & Hoi-Leitner 2003"
"Eastern bluebird, Sialia sialis",21,3.95238095238095,NA,NA,0.238095238095238,1.23809523809524,1,2,"Meek et al. (1994)"
"Humboldt penguin, Spheniscus humboldti",21,2.33333333333333,NA,NA,0,1,1,1,"Schwartz et al. (1999)"
"Wilson's phalarope, Steganopus tricolor",15,2.86666666666667,NA,NA,0,1,1,1,"Delehanty et al. (1998)"
"Common tern, Sterna hirundo",10,2.9,NA,NA,0,1,1,1,"Griggio et al 2004"
"Common tern, Sterna hirundo",34,3,NA,NA,0.0294117647058824,1.02941176470588,1,2,"Gonzalez-Solis et al 2001"
"Common starling, Sturnus vulgaris",14,4.42857142857143,NA,NA,0.285714285714286,1.5,1,3,"Pinxten et al 1993"
"Common starling, Sturnus vulgaris",22,4.18181818181818,NA,NA,0.318181818181818,1.31818181818182,1,2,"Smith & von Schantz (1993)"
"Nazca booby, Sula granti",21,1.52380952380952,1,2,0,1,1,1,"Anderson & Boag (2006)"
"Zebra finch, Taeniopygia guttata",25,3.28,NA,NA,0.08,1.08,1,2,"Birkhead et al. (1990)"
"Black grouse, Tetrao tetrix",11,6,NA,NA,0,1,1,1,"Alatalo et al. (1996b)"
"Carolina wren, Thryothorus ludovicianus",23,3.65217391304348,NA,NA,0,1,1,1,"Haggerty et al. (2001)"
"Monteiros hornbill, Tockus monteiri",38,3.55263157894737,NA,NA,0,1,1,1,"Stanback et al 2002"
"House wren, Troglodytes aedon",146,5.41095890410959,NA,NA,0.267123287671233,1.28082191780822,1,3,"Soukup & Thompson (1997)"
"Arabian babbler, Turdoides squamiceps",44,4.22727272727273,NA,NA,0.0909090909090909,1.09090909090909,1,2,"Lundy et al. (1998)"
"Southern lapwing, Vanellus chilensis",16,2.5625,NA,NA,0.1875,1.1875,1,2,"Saracura et al 2008"
"Blue-headed vireo, Vireo solitarius",16,2.3125,NA,NA,0.0625,1.0625,1,2,"Morton et al. (1998)"
"Capricorn silvereye, Zosterops lateralis",53,2.30188679245283,NA,NA,0,1,1,1,"Robertson et al. (2001)"
